TYPE;Geom;Geo Local Area;geo_point_2d
Fixed Time;"{""coordinates"": [-123.15289257946216, 49.2572768894039], ""type"": ""Point""}";Kitsilano;49.2572768894039, -123.15289257946216
Semi Actuated;"{""coordinates"": [-123.15971136165436, 49.27265423568658], ""type"": ""Point""}";Kitsilano;49.27265423568658, -123.15971136165436
Fixed Time;"{""coordinates"": [-123.12719015447647, 49.27779206733634], ""type"": ""Point""}";Downtown;49.27779206733634, -123.12719015447647
Pedestrian Actuated Signal;"{""coordinates"": [-123.10142470705678, 49.231173849793784], ""type"": ""Point""}";Sunset;49.231173849793784, -123.10142470705678
Fixed Time;"{""coordinates"": [-123.1061474701193, 49.27805537425138], ""type"": ""Point""}";Downtown;49.27805537425138, -123.1061474701193
Fixed Time;"{""coordinates"": [-123.15528134251392, 49.234569313584736], ""type"": ""Point""}";Arbutus Ridge;49.234569313584736, -123.15528134251392
Fixed Time;"{""coordinates"": [-123.13543422932307, 49.29147655654307], ""type"": ""Point""}";West End;49.29147655654307, -123.13543422932307
Pedestrian Actuated Signal;"{""coordinates"": [-123.17587092357216, 49.22906812144756], ""type"": ""Point""}";Kerrisdale;49.22906812144756, -123.17587092357216
Pedestrian Actuated Signal;"{""coordinates"": [-123.15497229313475, 49.27257854486783], ""type"": ""Point""}";Kitsilano;49.27257854486783, -123.15497229313475
Pedestrian Actuated Signal;"{""coordinates"": [-123.02584820656318, 49.24451612911518], ""type"": ""Point""}";Renfrew-Collingwood;49.24451612911518, -123.02584820656318
RRFB;"{""coordinates"": [-123.18526318330849, 49.24236871954843], ""type"": ""Point""}";Dunbar-Southlands;49.24236871954843, -123.18526318330849
RRFB;"{""coordinates"": [-123.18206090580223, 49.23015477551037], ""type"": ""Point""}";Dunbar-Southlands;49.23015477551037, -123.18206090580223
Fixed Time;"{""coordinates"": [-123.12280894002434, 49.28329568648209], ""type"": ""Point""}";West End;49.28329568648209, -123.12280894002434
Pedestrian Actuated Signal;"{""coordinates"": [-123.13455094266077, 49.26637348874764], ""type"": ""Point""}";Fairview;49.26637348874764, -123.13455094266077
Fully Actuated;"{""coordinates"": [-123.04428139638523, 49.258170824392195], ""type"": ""Point""}";Renfrew-Collingwood;49.258170824392195, -123.04428139638523
Pedestrian Actuated Signal;"{""coordinates"": [-123.13873337660124, 49.25891120835744], ""type"": ""Point""}";Fairview;49.25891120835744, -123.13873337660124
Semi Actuated;"{""coordinates"": [-123.12747999381172, 49.27373470227724], ""type"": ""Point""}";Downtown;49.27373470227724, -123.12747999381172
Pedestrian Actuated Signal;"{""coordinates"": [-123.12192713186029, 49.260504112687116], ""type"": ""Point""}";Fairview;49.260504112687116, -123.12192713186029
Pedestrian Actuated Signal;"{""coordinates"": [-123.06959185341115, 49.27129101491088], ""type"": ""Point""}";Grandview-Woodland;49.27129101491088, -123.06959185341115
Pedestrian Actuated Signal;"{""coordinates"": [-123.1852392441335, 49.24427333858636], ""type"": ""Point""}";Dunbar-Southlands;49.24427333858636, -123.1852392441335
Pedestrian Actuated Signal;"{""coordinates"": [-123.12008066459813, 49.257006179558054], ""type"": ""Point""}";Fairview;49.257006179558054, -123.12008066459813
Fully Actuated;"{""coordinates"": [-123.1283156862282, 49.22655267254025], ""type"": ""Point""}";Oakridge;49.22655267254025, -123.1283156862282
Fixed Time;"{""coordinates"": [-123.12697974111134, 49.28600474366536], ""type"": ""Point""}";West End;49.28600474366536, -123.12697974111134
Fixed Time;"{""coordinates"": [-123.11812055372991, 49.2824942825334], ""type"": ""Point""}";Downtown;49.2824942825334, -123.11812055372991
Semi Actuated;"{""coordinates"": [-123.05686036232612, 49.207086386952966], ""type"": ""Point""}";Victoria-Fraserview;49.207086386952966, -123.05686036232612
Pedestrian Actuated Signal;"{""coordinates"": [-123.08405972395576, 49.21111855726627], ""type"": ""Point""}";Sunset;49.21111855726627, -123.08405972395576
Pedestrian Actuated Signal;"{""coordinates"": [-123.07598304470805, 49.25350040665282], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25350040665282, -123.07598304470805
Fixed Time;"{""coordinates"": [-123.06594699357264, 49.259530199303654], ""type"": ""Point""}";Kensington-Cedar Cottage;49.259530199303654, -123.06594699357264
Pedestrian Actuated Signal;"{""coordinates"": [-123.03403747460898, 49.23318401270843], ""type"": ""Point""}";Renfrew-Collingwood;49.23318401270843, -123.03403747460898
Fixed Time;"{""coordinates"": [-123.11982824551153, 49.28136460991239], ""type"": ""Point""}";Downtown;49.28136460991239, -123.11982824551153
Pedestrian Actuated Signal;"{""coordinates"": [-123.09029748231855, 49.24256145936459], ""type"": ""Point""}";Riley Park;49.24256145936459, -123.09029748231855
Semi Actuated;"{""coordinates"": [-123.07033145706671, 49.28384195951235], ""type"": ""Point""}";Grandview-Woodland;49.28384195951235, -123.07033145706671
Pedestrian Actuated Signal;"{""coordinates"": [-123.18202591802702, 49.23475954875064], ""type"": ""Point""}";Dunbar-Southlands;49.23475954875064, -123.18202591802702
Fixed Time;"{""coordinates"": [-123.11945789745212, 49.279040539754014], ""type"": ""Point""}";Downtown;49.279040539754014, -123.11945789745212
Pedestrian Actuated Signal;"{""coordinates"": [-123.13869872641672, 49.25983205405651], ""type"": ""Point""}";Fairview;49.25983205405651, -123.13869872641672
Fixed Time;"{""coordinates"": [-123.12167241953355, 49.27630695822814], ""type"": ""Point""}";Downtown;49.27630695822814, -123.12167241953355
Fixed Time;"{""coordinates"": [-123.09015711092384, 49.24864265269108], ""type"": ""Point""}";Riley Park;49.24864265269108, -123.09015711092384
Pedestrian Actuated Signal;"{""coordinates"": [-123.06550531796492, 49.23391678217182], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23391678217182, -123.06550531796492
Fixed Time;"{""coordinates"": [-123.05475048604428, 49.22481652532414], ""type"": ""Point""}";Victoria-Fraserview;49.22481652532414, -123.05475048604428
