TYPE;Geom;Geo Local Area;geo_point_2d
Pedestrian Actuated Signal;"{""coordinates"": [-123.12748303538629, 49.208428943551745], ""type"": ""Point""}";Marpole;49.208428943551745, -123.12748303538629
Fixed Time;"{""coordinates"": [-123.12264238036204, 49.27693403966933], ""type"": ""Point""}";Downtown;49.27693403966933, -123.12264238036204
Fixed Time;"{""coordinates"": [-123.10918300472727, 49.28336825607684], ""type"": ""Point""}";Downtown;49.28336825607684, -123.10918300472727
Fixed Time;"{""coordinates"": [-123.11848760269257, 49.27841220880807], ""type"": ""Point""}";Downtown;49.27841220880807, -123.11848760269257
Pedestrian Actuated Signal;"{""coordinates"": [-123.18530750216891, 49.23643799120051], ""type"": ""Point""}";Dunbar-Southlands;49.23643799120051, -123.18530750216891
Fixed Time;"{""coordinates"": [-123.06981554054606, 49.259561271695034], ""type"": ""Point""}";Kensington-Cedar Cottage;49.259561271695034, -123.06981554054606
Semi Actuated;"{""coordinates"": [-123.08949007666538, 49.28209790378528], ""type"": ""Point""}";Strathcona;49.28209790378528, -123.08949007666538
Semi Actuated;"{""coordinates"": [-123.11295477452089, 49.274869184989385], ""type"": ""Point""}";Downtown;49.274869184989385, -123.11295477452089
Fixed Time;"{""coordinates"": [-123.08945050412206, 49.283002111494774], ""type"": ""Point""}";Strathcona;49.283002111494774, -123.08945050412206
Pedestrian Actuated Signal;"{""coordinates"": [-123.05462796528782, 49.22847830268445], ""type"": ""Point""}";Victoria-Fraserview;49.22847830268445, -123.05462796528782
Fixed Time;"{""coordinates"": [-123.1458634236035, 49.260888003367036], ""type"": ""Point""}";Kitsilano;49.260888003367036, -123.1458634236035
Pedestrian Actuated Signal;"{""coordinates"": [-123.0368276786922, 49.22014017121126], ""type"": ""Point""}";Killarney;49.22014017121126, -123.0368276786922
Pedestrian Actuated Signal;"{""coordinates"": [-123.06985087535517, 49.257750136275334], ""type"": ""Point""}";Kensington-Cedar Cottage;49.257750136275334, -123.06985087535517
Fixed Time;"{""coordinates"": [-123.10148635628457, 49.240502372838634], ""type"": ""Point""}";Riley Park;49.240502372838634, -123.10148635628457
Pedestrian Actuated Signal;"{""coordinates"": [-123.14562978498313, 49.26715836238321], ""type"": ""Point""}";Kitsilano;49.26715836238321, -123.14562978498313
Semi Actuated;"{""coordinates"": [-123.08950213168978, 49.27101791334037], ""type"": ""Point""}";Strathcona;49.27101791334037, -123.08950213168978
Fixed Time;"{""coordinates"": [-123.16788028311461, 49.248088211804], ""type"": ""Point""}";Arbutus Ridge;49.248088211804, -123.16788028311461
Fixed Time;"{""coordinates"": [-123.13609687250835, 49.263559552083834], ""type"": ""Point""}";Fairview;49.263559552083834, -123.13609687250835
Pedestrian Actuated Signal;"{""coordinates"": [-123.0519377606677, 49.28871519872212], ""type"": ""Point""}";Hastings-Sunrise;49.28871519872212, -123.0519377606677
Pedestrian Actuated Signal;"{""coordinates"": [-123.14836829692871, 49.2572058248314], ""type"": ""Point""}";Kitsilano;49.2572058248314, -123.14836829692871
Fixed Time;"{""coordinates"": [-123.12587972168538, 49.283900905701515], ""type"": ""Point""}";West End;49.283900905701515, -123.12587972168538
Pedestrian Actuated Signal;"{""coordinates"": [-123.14036896796884, 49.213143699432145], ""type"": ""Point""}";Marpole;49.213143699432145, -123.14036896796884
Pedestrian Actuated Signal;"{""coordinates"": [-123.0812820539099, 49.2809971574655], ""type"": ""Point""}";Strathcona;49.2809971574655, -123.0812820539099
Semi Actuated;"{""coordinates"": [-123.17025830867853, 49.234741123480276], ""type"": ""Point""}";Dunbar-Southlands;49.234741123480276, -123.17025830867853
Bus Actuated Signal;"{""coordinates"": [-123.03348191026772, 49.27036001722493], ""type"": ""Point""}";Hastings-Sunrise;49.27036001722493, -123.03348191026772
Pedestrian Actuated Signal;"{""coordinates"": [-123.09405918132033, 49.24868487769729], ""type"": ""Point""}";Riley Park;49.24868487769729, -123.09405918132033
Pedestrian Actuated Signal;"{""coordinates"": [-123.06872996093456, 49.232619907206214], ""type"": ""Point""}";Kensington-Cedar Cottage;49.232619907206214, -123.06872996093456
Pedestrian Actuated Signal;"{""coordinates"": [-123.0967767351164, 49.248714638283296], ""type"": ""Point""}";Riley Park;49.248714638283296, -123.0967767351164
Pedestrian Actuated Signal;"{""coordinates"": [-123.07453123319456, 49.225261156566496], ""type"": ""Point""}";Victoria-Fraserview;49.225261156566496, -123.07453123319456
Fixed Time;"{""coordinates"": [-123.11347818196901, 49.28172605119886], ""type"": ""Point""}";Downtown;49.28172605119886, -123.11347818196901
Pedestrian Actuated Signal;"{""coordinates"": [-123.14119390323968, 49.25895151262374], ""type"": ""Point""}";Fairview;49.25895151262374, -123.14119390323968
Pedestrian Actuated Signal;"{""coordinates"": [-123.1208960755007, 49.2337058529793], ""type"": ""Point""}";South Cambie;49.2337058529793, -123.1208960755007
Fixed Time;"{""coordinates"": [-123.0318495409542, 49.238256391092364], ""type"": ""Point""}";Renfrew-Collingwood;49.238256391092364, -123.0318495409542
Pedestrian Actuated Signal;"{""coordinates"": [-123.07728159064258, 49.274033546681416], ""type"": ""Point""}";Strathcona;49.274033546681416, -123.07728159064258
Fixed Time;"{""coordinates"": [-123.18585678274802, 49.26436426165829], ""type"": ""Point""}";West Point Grey;49.26436426165829, -123.18585678274802
Semi Actuated;"{""coordinates"": [-123.11997601841865, 49.26047251311622], ""type"": ""Point""}";Fairview;49.26047251311622, -123.11997601841865
Semi Actuated;"{""coordinates"": [-123.0565309155963, 49.28479197725611], ""type"": ""Point""}";Grandview-Woodland;49.28479197725611, -123.0565309155963
Semi Actuated;"{""coordinates"": [-123.04059663319157, 49.288942028060895], ""type"": ""Point""}";Hastings-Sunrise;49.288942028060895, -123.04059663319157
Pedestrian Actuated Signal;"{""coordinates"": [-123.0435963542901, 49.24307742218377], ""type"": ""Point""}";Renfrew-Collingwood;49.24307742218377, -123.0435963542901
Semi Actuated;"{""coordinates"": [-123.17858544787052, 49.25003097984731], ""type"": ""Point""}";Dunbar-Southlands;49.25003097984731, -123.17858544787052
Pedestrian Actuated Signal;"{""coordinates"": [-123.05659640184204, 49.26477875184986], ""type"": ""Point""}";Grandview-Woodland;49.26477875184986, -123.05659640184204
Semi Actuated;"{""coordinates"": [-123.12779209585446, 49.276095180936444], ""type"": ""Point""}";Downtown;49.276095180936444, -123.12779209585446
Pedestrian Actuated Signal;"{""coordinates"": [-123.10195823292658, 49.21675207679208], ""type"": ""Point""}";Sunset;49.21675207679208, -123.10195823292658
Semi Actuated;"{""coordinates"": [-123.11556067042726, 49.245189002083436], ""type"": ""Point""}";South Cambie;49.245189002083436, -123.11556067042726
Pedestrian Actuated Signal;"{""coordinates"": [-123.07204547303792, 49.21458180029297], ""type"": ""Point""}";Victoria-Fraserview;49.21458180029297, -123.07204547303792
Pedestrian Actuated Signal;"{""coordinates"": [-123.13228895449686, 49.28944216542396], ""type"": ""Point""}";West End;49.28944216542396, -123.13228895449686
Pedestrian Actuated Signal;"{""coordinates"": [-123.17768725527411, 49.268496162760016], ""type"": ""Point""}";Kitsilano;49.268496162760016, -123.17768725527411
Semi Actuated;"{""coordinates"": [-123.14514804976173, 49.20860364484517], ""type"": ""Point""}";Marpole;49.20860364484517, -123.14514804976173
Pedestrian Actuated Signal;"{""coordinates"": [-123.09085993508006, 49.22199547409465], ""type"": ""Point""}";Sunset;49.22199547409465, -123.09085993508006
Pedestrian Actuated Signal;"{""coordinates"": [-123.19065869791064, 49.26870685227531], ""type"": ""Point""}";West Point Grey;49.26870685227531, -123.19065869791064
Semi Actuated;"{""coordinates"": [-123.1787215114398, 49.23475377891776], ""type"": ""Point""}";Dunbar-Southlands;49.23475377891776, -123.1787215114398
Pedestrian Actuated Signal;"{""coordinates"": [-123.11503065772132, 49.258733388826954], ""type"": ""Point""}";Fairview;49.258733388826954, -123.11503065772132
Semi Actuated;"{""coordinates"": [-123.1100012568605, 49.27949080107256], ""type"": ""Point""}";Downtown;49.27949080107256, -123.1100012568605
Pedestrian Actuated Signal;"{""coordinates"": [-123.13613172244024, 49.26259289494274], ""type"": ""Point""}";Fairview;49.26259289494274, -123.13613172244024
Semi Actuated;"{""coordinates"": [-123.1259031074279, 49.273080960641494], ""type"": ""Point""}";Downtown;49.273080960641494, -123.1259031074279
Fixed Time;"{""coordinates"": [-123.09972933378246, 49.27948146711846], ""type"": ""Point""}";Downtown;49.27948146711846, -123.09972933378246
Pedestrian Actuated Signal;"{""coordinates"": [-123.10565456835069, 49.233159539210504], ""type"": ""Point""}";Riley Park;49.233159539210504, -123.10565456835069
Pedestrian Actuated Signal;"{""coordinates"": [-123.15750527317141, 49.26820589125444], ""type"": ""Point""}";Kitsilano;49.26820589125444, -123.15750527317141
Fixed Time;"{""coordinates"": [-123.06561883806468, 49.276630643524975], ""type"": ""Point""}";Grandview-Woodland;49.276630643524975, -123.06561883806468
Fixed Time;"{""coordinates"": [-123.12561222964895, 49.288964299796284], ""type"": ""Point""}";Downtown;49.288964299796284, -123.12561222964895
Pedestrian Actuated Signal;"{""coordinates"": [-123.13915022796996, 49.24741353354074], ""type"": ""Point""}";Shaughnessy;49.24741353354074, -123.13915022796996
Fixed Time;"{""coordinates"": [-123.11978378180704, 49.28793339958468], ""type"": ""Point""}";Downtown;49.28793339958468, -123.11978378180704
Fixed Time;"{""coordinates"": [-123.12520682430583, 49.27650889337833], ""type"": ""Point""}";Downtown;49.27650889337833, -123.12520682430583
Fixed Time;"{""coordinates"": [-123.10225508772506, 49.28138421372408], ""type"": ""Point""}";Downtown;49.28138421372408, -123.10225508772506
Fixed Time;"{""coordinates"": [-123.03369273214109, 49.269459923808704], ""type"": ""Point""}";Hastings-Sunrise;49.269459923808704, -123.03369273214109
Pedestrian Actuated Signal;"{""coordinates"": [-123.17121790388191, 49.26412378123632], ""type"": ""Point""}";Kitsilano;49.26412378123632, -123.17121790388191
Semi Actuated;"{""coordinates"": [-123.11047814277904, 49.27787839139641], ""type"": ""Point""}";Downtown;49.27787839139641, -123.11047814277904
Fixed Time;"{""coordinates"": [-123.05405566039056, 49.24002182572412], ""type"": ""Point""}";Renfrew-Collingwood;49.24002182572412, -123.05405566039056
Fixed Time;"{""coordinates"": [-123.04886974514336, 49.23761426528692], ""type"": ""Point""}";Renfrew-Collingwood;49.23761426528692, -123.04886974514336
Pedestrian Actuated Signal;"{""coordinates"": [-123.07400931760527, 49.21810851605564], ""type"": ""Point""}";Victoria-Fraserview;49.21810851605564, -123.07400931760527
Semi Actuated;"{""coordinates"": [-123.10908185940777, 49.24299330304019], ""type"": ""Point""}";Riley Park;49.24299330304019, -123.10908185940777
Pedestrian Actuated Signal;"{""coordinates"": [-123.10095462709702, 49.28135746317458], ""type"": ""Point""}";Downtown;49.28135746317458, -123.10095462709702
Pedestrian Actuated Signal;"{""coordinates"": [-123.07707919883329, 49.214627044577156], ""type"": ""Point""}";Sunset;49.214627044577156, -123.07707919883329
Pedestrian Actuated Signal;"{""coordinates"": [-123.1396834465033, 49.28866170522537], ""type"": ""Point""}";West End;49.28866170522537, -123.1396834465033
Fixed Time;"{""coordinates"": [-123.12907024146207, 49.2817902298258], ""type"": ""Point""}";West End;49.2817902298258, -123.12907024146207
Semi Actuated;"{""coordinates"": [-123.1421110508525, 49.20855806409179], ""type"": ""Point""}";Marpole;49.20855806409179, -123.1421110508525
Pedestrian Actuated Signal;"{""coordinates"": [-123.16828089590352, 49.26926146156902], ""type"": ""Point""}";Kitsilano;49.26926146156902, -123.16828089590352
Semi Actuated;"{""coordinates"": [-123.14549827038573, 49.270660692126356], ""type"": ""Point""}";Kitsilano;49.270660692126356, -123.14549827038573
Semi Actuated;"{""coordinates"": [-123.14780185023433, 49.27246309519062], ""type"": ""Point""}";Kitsilano;49.27246309519062, -123.14780185023433
Fixed Time;"{""coordinates"": [-123.13317766970441, 49.29241518887651], ""type"": ""Point""}";Downtown;49.29241518887651, -123.13317766970441
Pedestrian Actuated Signal;"{""coordinates"": [-123.16822089461704, 49.27104466727264], ""type"": ""Point""}";Kitsilano;49.27104466727264, -123.16822089461704
Fully Actuated;"{""coordinates"": [-123.03666411583768, 49.20692896898969], ""type"": ""Point""}";Killarney;49.20692896898969, -123.03666411583768
Semi Actuated;"{""coordinates"": [-123.08706444178692, 49.28295779768108], ""type"": ""Point""}";Strathcona;49.28295779768108, -123.08706444178692
Semi Actuated;"{""coordinates"": [-123.08711861725318, 49.28205265327846], ""type"": ""Point""}";Strathcona;49.28205265327846, -123.08711861725318
Pedestrian Actuated Signal;"{""coordinates"": [-123.1269430241331, 49.28319710232003], ""type"": ""Point""}";West End;49.28319710232003, -123.1269430241331
Semi Actuated;"{""coordinates"": [-123.12360890676119, 49.241276341955356], ""type"": ""Point""}";South Cambie;49.241276341955356, -123.12360890676119
Semi Actuated;"{""coordinates"": [-123.04406306927244, 49.28871059898312], ""type"": ""Point""}";Hastings-Sunrise;49.28871059898312, -123.04406306927244
Pedestrian Actuated Signal;"{""coordinates"": [-123.0933612341639, 49.28307137517278], ""type"": ""Point""}";Strathcona;49.28307137517278, -123.0933612341639
Fixed Time;"{""coordinates"": [-123.18588898850582, 49.26347919810455], ""type"": ""Point""}";West Point Grey;49.26347919810455, -123.18588898850582
Semi Actuated;"{""coordinates"": [-123.1150599654849, 49.210962179240504], ""type"": ""Point""}";Marpole;49.210962179240504, -123.1150599654849
RRFB;"{""coordinates"": [-123.15559679569964, 49.233604912657555], ""type"": ""Point""}";Kerrisdale;49.233604912657555, -123.15559679569964
Pedestrian Actuated Signal;"{""coordinates"": [-123.16225896314502, 49.26829363706492], ""type"": ""Point""}";Kitsilano;49.26829363706492, -123.16225896314502
Pedestrian Actuated Signal;"{""coordinates"": [-123.14447440127728, 49.2085742921982], ""type"": ""Point""}";Marpole;49.2085742921982, -123.14447440127728
RRFB;"{""coordinates"": [-123.178744701089, 49.23296509022412], ""type"": ""Point""}";Dunbar-Southlands;49.23296509022412, -123.178744701089
;"{""coordinates"": [-123.08970638681848, 49.276601464769804], ""type"": ""Point""}";Strathcona;49.276601464769804, -123.08970638681848
CS;"{""coordinates"": [-123.13585830659314, 49.29424227784835], ""type"": ""Point""}";Downtown;49.29424227784835, -123.13585830659314
Pedestrian Actuated Signal;"{""coordinates"": [-123.07405338320093, 49.28324281344907], ""type"": ""Point""}";Grandview-Woodland;49.28324281344907, -123.07405338320093
RRFB;"{""coordinates"": [-123.14709118627265, 49.242006904422645], ""type"": ""Point""}";Arbutus Ridge;49.242006904422645, -123.14709118627265
FH;"{""coordinates"": [-123.08972749341262, 49.276625888299336], ""type"": ""Point""}";Strathcona;49.276625888299336, -123.08972749341262
Pedestrian Actuated Signal;"{""coordinates"": [-123.04021353289744, 49.23297940985264], ""type"": ""Point""}";Renfrew-Collingwood;49.23297940985264, -123.04021353289744
RRFB;"{""coordinates"": [-123.1528944122069, 49.26473924329179], ""type"": ""Point""}";Kitsilano;49.26473924329179, -123.1528944122069
RRFB;"{""coordinates"": [-123.03107016245616, 49.25062213549122], ""type"": ""Point""}";Renfrew-Collingwood;49.25062213549122, -123.03107016245616
Pedestrian Actuated Signal;"{""coordinates"": [-123.18521753454426, 49.245228002244616], ""type"": ""Point""}";Dunbar-Southlands;49.245228002244616, -123.18521753454426
Pedestrian Actuated Signal;"{""coordinates"": [-123.15064702541844, 49.26097597314042], ""type"": ""Point""}";Kitsilano;49.26097597314042, -123.15064702541844
Fully Actuated;"{""coordinates"": [-123.11751343939176, 49.26228962074865], ""type"": ""Point""}";Fairview;49.26228962074865, -123.11751343939176
RRFB;"{""coordinates"": [-123.04431182795507, 49.25631814044657], ""type"": ""Point""}";Renfrew-Collingwood;49.25631814044657, -123.04431182795507
Pedestrian Actuated Signal;"{""coordinates"": [-123.13951171367792, 49.23627804084296], ""type"": ""Point""}";Shaughnessy;49.23627804084296, -123.13951171367792
Fixed Time;"{""coordinates"": [-123.06592097466643, 49.261344412988485], ""type"": ""Point""}";Kensington-Cedar Cottage;49.261344412988485, -123.06592097466643
RRFB;"{""coordinates"": [-123.18183859280823, 49.25005622837491], ""type"": ""Point""}";Dunbar-Southlands;49.25005622837491, -123.18183859280823
RRFB;"{""coordinates"": [-123.17419994611431, 49.25776803699834], ""type"": ""Point""}";Kitsilano;49.25776803699834, -123.17419994611431
Pedestrian Actuated Signal;"{""coordinates"": [-123.03377775391827, 49.267569027775124], ""type"": ""Point""}";Hastings-Sunrise;49.267569027775124, -123.03377775391827
RRFB;"{""coordinates"": [-123.08001552119542, 49.248524206529765], ""type"": ""Point""}";Kensington-Cedar Cottage;49.248524206529765, -123.08001552119542
Pedestrian Actuated Signal;"{""coordinates"": [-123.09093379691174, 49.21910174467249], ""type"": ""Point""}";Sunset;49.21910174467249, -123.09093379691174
RRFB;"{""coordinates"": [-123.03709116239737, 49.244519183335235], ""type"": ""Point""}";Renfrew-Collingwood;49.244519183335235, -123.03709116239737
RRFB;"{""coordinates"": [-123.09334965017696, 49.240346663131994], ""type"": ""Point""}";Riley Park;49.240346663131994, -123.09334965017696
Fixed Time;"{""coordinates"": [-123.11398201313469, 49.27758076470279], ""type"": ""Point""}";Downtown;49.27758076470279, -123.11398201313469
Fully Actuated;"{""coordinates"": [-123.14088137595273, 49.267080621296124], ""type"": ""Point""}";Fairview;49.267080621296124, -123.14088137595273
Semi Actuated;"{""coordinates"": [-123.130384066061, 49.27567828172084], ""type"": ""Point""}";Downtown;49.27567828172084, -123.130384066061
Semi Actuated;"{""coordinates"": [-123.13990758926407, 49.268351495174414], ""type"": ""Point""}";Fairview;49.268351495174414, -123.13990758926407
Fixed Time;"{""coordinates"": [-123.11547908486001, 49.28814319526476], ""type"": ""Point""}";Downtown;49.28814319526476, -123.11547908486001
Semi Actuated;"{""coordinates"": [-123.15260340914868, 49.27254026590411], ""type"": ""Point""}";Kitsilano;49.27254026590411, -123.15260340914868
Pedestrian Actuated Signal;"{""coordinates"": [-123.0298982150782, 49.21449465025395], ""type"": ""Point""}";Killarney;49.21449465025395, -123.0298982150782
Semi Actuated;"{""coordinates"": [-123.11000010866475, 49.28408068154178], ""type"": ""Point""}";Downtown;49.28408068154178, -123.11000010866475
Pedestrian Actuated Signal;"{""coordinates"": [-123.06539916658944, 49.23745699423069], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23745699423069, -123.06539916658944
Fixed Time;"{""coordinates"": [-123.05539551044654, 49.23282649573963], ""type"": ""Point""}";Renfrew-Collingwood;49.23282649573963, -123.05539551044654
Fixed Time;"{""coordinates"": [-123.12361565661237, 49.27756308830049], ""type"": ""Point""}";Downtown;49.27756308830049, -123.12361565661237
Fixed Time;"{""coordinates"": [-123.11153627446379, 49.280469174600775], ""type"": ""Point""}";Downtown;49.280469174600775, -123.11153627446379
Semi Actuated;"{""coordinates"": [-123.13478106769224, 49.203162717796324], ""type"": ""Point""}";Marpole;49.203162717796324, -123.13478106769224
Fixed Time;"{""coordinates"": [-123.12200538974464, 49.28646338744956], ""type"": ""Point""}";Downtown;49.28646338744956, -123.12200538974464
Fixed Time;"{""coordinates"": [-123.07744526065908, 49.265185079146065], ""type"": ""Point""}";Strathcona;49.265185079146065, -123.07744526065908
Semi Actuated;"{""coordinates"": [-123.19946765537357, 49.26885585541919], ""type"": ""Point""}";West Point Grey;49.26885585541919, -123.19946765537357
Pedestrian Actuated Signal;"{""coordinates"": [-123.10765276155703, 49.28308721634034], ""type"": ""Point""}";Downtown;49.28308721634034, -123.10765276155703
Pedestrian Actuated Signal;"{""coordinates"": [-123.18169562270025, 49.268558859247676], ""type"": ""Point""}";Kitsilano;49.268558859247676, -123.18169562270025
Fixed Time;"{""coordinates"": [-123.13620120794552, 49.260732954337286], ""type"": ""Point""}";Fairview;49.260732954337286, -123.13620120794552
Pedestrian Actuated Signal;"{""coordinates"": [-123.1404605772314, 49.210516469035554], ""type"": ""Point""}";Marpole;49.210516469035554, -123.1404605772314
Fixed Time;"{""coordinates"": [-123.09034653707711, 49.24030613442774], ""type"": ""Point""}";Riley Park;49.24030613442774, -123.09034653707711
Semi Actuated;"{""coordinates"": [-123.07563823846446, 49.21102848013265], ""type"": ""Point""}";Victoria-Fraserview;49.21102848013265, -123.07563823846446
Pedestrian Actuated Signal;"{""coordinates"": [-123.10091235093216, 49.252984093082446], ""type"": ""Point""}";Riley Park;49.252984093082446, -123.10091235093216
Pedestrian Actuated Signal;"{""coordinates"": [-123.19656215833528, 49.25810096043726], ""type"": ""Point""}";West Point Grey;49.25810096043726, -123.19656215833528
Pedestrian Actuated Signal;"{""coordinates"": [-123.10535271697188, 49.24057477753631], ""type"": ""Point""}";Riley Park;49.24057477753631, -123.10535271697188
Pedestrian Actuated Signal;"{""coordinates"": [-123.09830830237883, 49.260179597085475], ""type"": ""Point""}";Mount Pleasant;49.260179597085475, -123.09830830237883
Fixed Time;"{""coordinates"": [-123.11250751202398, 49.28109785060874], ""type"": ""Point""}";Downtown;49.28109785060874, -123.11250751202398
Pedestrian Actuated Signal;"{""coordinates"": [-123.14823296919063, 49.260926788360976], ""type"": ""Point""}";Kitsilano;49.260926788360976, -123.14823296919063
Fixed Time;"{""coordinates"": [-123.12337272983372, 49.28839156146531], ""type"": ""Point""}";Downtown;49.28839156146531, -123.12337272983372
Fixed Time;"{""coordinates"": [-123.18533903802418, 49.23476626253007], ""type"": ""Point""}";Dunbar-Southlands;49.23476626253007, -123.18533903802418
Fully Actuated;"{""coordinates"": [-123.02364716444328, 49.23230888612863], ""type"": ""Point""}";Renfrew-Collingwood;49.23230888612863, -123.02364716444328
Pedestrian Actuated Signal;"{""coordinates"": [-123.0441003545236, 49.276411437774904], ""type"": ""Point""}";Hastings-Sunrise;49.276411437774904, -123.0441003545236
Semi Actuated;"{""coordinates"": [-123.07705289664294, 49.28306820786658], ""type"": ""Point""}";Grandview-Woodland;49.28306820786658, -123.07705289664294
Fixed Time;"{""coordinates"": [-123.12202192972848, 49.27861611241871], ""type"": ""Point""}";Downtown;49.27861611241871, -123.12202192972848
Fixed Time;"{""coordinates"": [-123.11786601656868, 49.28009446682043], ""type"": ""Point""}";Downtown;49.28009446682043, -123.11786601656868
Fixed Time;"{""coordinates"": [-123.11623550436386, 49.28764340291779], ""type"": ""Point""}";Downtown;49.28764340291779, -123.11623550436386
Fixed Time;"{""coordinates"": [-123.09733719676149, 49.28034183604269], ""type"": ""Point""}";Strathcona;49.28034183604269, -123.09733719676149
Pedestrian Actuated Signal;"{""coordinates"": [-123.08142489223165, 49.259653313288865], ""type"": ""Point""}";Mount Pleasant;49.259653313288865, -123.08142489223165
Fixed Time;"{""coordinates"": [-123.11095341031988, 49.284677940177126], ""type"": ""Point""}";Downtown;49.284677940177126, -123.11095341031988
Fixed Time;"{""coordinates"": [-123.13236907546052, 49.27697066612746], ""type"": ""Point""}";West End;49.27697066612746, -123.13236907546052
Pedestrian Actuated Signal;"{""coordinates"": [-123.09046105910814, 49.23655312075587], ""type"": ""Point""}";Riley Park;49.23655312075587, -123.09046105910814
Fixed Time;"{""coordinates"": [-123.14599985274722, 49.25716792278538], ""type"": ""Point""}";Kitsilano;49.25716792278538, -123.14599985274722
Pedestrian Actuated Signal;"{""coordinates"": [-123.15231940057735, 49.22712337393412], ""type"": ""Point""}";Kerrisdale;49.22712337393412, -123.15231940057735
Fixed Time;"{""coordinates"": [-123.11386626189763, 49.285307269335576], ""type"": ""Point""}";Downtown;49.285307269335576, -123.11386626189763
Fully Actuated;"{""coordinates"": [-123.05658872252997, 49.269505849528706], ""type"": ""Point""}";Grandview-Woodland;49.269505849528706, -123.05658872252997
Fixed Time;"{""coordinates"": [-123.12559820241383, 49.27884558856331], ""type"": ""Point""}";Downtown;49.27884558856331, -123.12559820241383
Pedestrian Actuated Signal;"{""coordinates"": [-123.04407237962444, 49.284777080474726], ""type"": ""Point""}";Hastings-Sunrise;49.284777080474726, -123.04407237962444
Pedestrian Actuated Signal;"{""coordinates"": [-123.08005098874341, 49.22532904768537], ""type"": ""Point""}";Sunset;49.22532904768537, -123.08005098874341
Fixed Time;"{""coordinates"": [-123.13855766392783, 49.263597933271946], ""type"": ""Point""}";Fairview;49.263597933271946, -123.13855766392783
Fixed Time;"{""coordinates"": [-123.11190416820475, 49.284037646407405], ""type"": ""Point""}";Downtown;49.284037646407405, -123.11190416820475
Pedestrian Actuated Signal;"{""coordinates"": [-123.15987509181507, 49.26824336675953], ""type"": ""Point""}";Kitsilano;49.26824336675953, -123.15987509181507
Pedestrian Actuated Signal;"{""coordinates"": [-123.05649956082662, 49.28871205088259], ""type"": ""Point""}";Hastings-Sunrise;49.28871205088259, -123.05649956082662
Semi Actuated;"{""coordinates"": [-123.11630637374184, 49.230740556512934], ""type"": ""Point""}";Oakridge;49.230740556512934, -123.11630637374184
Semi Actuated;"{""coordinates"": [-123.11491981135813, 49.26225223687137], ""type"": ""Point""}";Fairview;49.26225223687137, -123.11491981135813
Pedestrian Actuated Signal;"{""coordinates"": [-123.05658350980559, 49.2730730934943], ""type"": ""Point""}";Grandview-Woodland;49.2730730934943, -123.05658350980559
Pedestrian Actuated Signal;"{""coordinates"": [-123.12419976154246, 49.20837852184142], ""type"": ""Point""}";Marpole;49.20837852184142, -123.12419976154246
Semi Actuated;"{""coordinates"": [-123.03220696022235, 49.22466224102813], ""type"": ""Point""}";Killarney;49.22466224102813, -123.03220696022235
Fixed Time;"{""coordinates"": [-123.09655846321846, 49.25985097545413], ""type"": ""Point""}";Mount Pleasant;49.25985097545413, -123.09655846321846
Pedestrian Actuated Signal;"{""coordinates"": [-123.1533434630803, 49.24520319396474], ""type"": ""Point""}";Arbutus Ridge;49.24520319396474, -123.1533434630803
Fixed Time;"{""coordinates"": [-123.11708242182034, 49.27552919999192], ""type"": ""Point""}";Downtown;49.27552919999192, -123.11708242182034
Pedestrian Actuated Signal;"{""coordinates"": [-123.13603182842905, 49.26530791895724], ""type"": ""Point""}";Fairview;49.26530791895724, -123.13603182842905
Pedestrian Actuated Signal;"{""coordinates"": [-123.12744901510123, 49.25172286792557], ""type"": ""Point""}";Shaughnessy;49.25172286792557, -123.12744901510123
Pedestrian Actuated Signal;"{""coordinates"": [-123.04670440309998, 49.28113577174032], ""type"": ""Point""}";Hastings-Sunrise;49.28113577174032, -123.04670440309998
Pedestrian Actuated Signal;"{""coordinates"": [-123.14105577531541, 49.26267169627677], ""type"": ""Point""}";Fairview;49.26267169627677, -123.14105577531541
Pedestrian Actuated Signal;"{""coordinates"": [-123.04668328762162, 49.28871374391177], ""type"": ""Point""}";Hastings-Sunrise;49.28871374391177, -123.04668328762162
Fixed Time;"{""coordinates"": [-123.16812876462033, 49.262278380775435], ""type"": ""Point""}";Kitsilano;49.262278380775435, -123.16812876462033
Pedestrian Actuated Signal;"{""coordinates"": [-123.090661250689, 49.22918262193924], ""type"": ""Point""}";Sunset;49.22918262193924, -123.090661250689
Pedestrian Actuated Signal;"{""coordinates"": [-123.1011523686146, 49.25839385925781], ""type"": ""Point""}";Mount Pleasant;49.25839385925781, -123.1011523686146
Semi Actuated;"{""coordinates"": [-123.04702548486276, 49.25818721779208], ""type"": ""Point""}";Renfrew-Collingwood;49.25818721779208, -123.04702548486276
Pedestrian Actuated Signal;"{""coordinates"": [-123.18521351361719, 49.24712106549694], ""type"": ""Point""}";Dunbar-Southlands;49.24712106549694, -123.18521351361719
Pedestrian Actuated Signal;"{""coordinates"": [-123.12855170280761, 49.28702259025329], ""type"": ""Point""}";West End;49.28702259025329, -123.12855170280761
Pedestrian Actuated Signal;"{""coordinates"": [-123.13649607420271, 49.290773081678154], ""type"": ""Point""}";West End;49.290773081678154, -123.13649607420271
Fixed Time;"{""coordinates"": [-123.12918112087695, 49.27908005585649], ""type"": ""Point""}";West End;49.27908005585649, -123.12918112087695
