TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,CRIME_CATEGORY
Break and Enter Commercial,2020,10,4,5,0,6XX E BROADWAY AVE,Mount Pleasant,493420.0038,5456635.3117,Commercial
Break and Enter Commercial,2020,10,5,10,6,6XX E BROADWAY AVE,Mount Pleasant,493420.0038,5456635.3117,Commercial
Break and Enter Commercial,2020,3,3,8,10,6XX E CORDOVA ST,Strathcona,493378.6408,5458818.7236,Commercial
Break and Enter Commercial,2020,6,25,19,46,6XX E CORDOVA ST,Strathcona,493378.6408,5458818.7236,Commercial
Break and Enter Commercial,2020,7,7,18,34,6XX E CORDOVA ST,Strathcona,493378.6408,5458818.7236,Commercial
Break and Enter Commercial,2020,7,17,4,39,6XX E CORDOVA ST,Strathcona,493378.6408,5458818.7236,Commercial
Break and Enter Commercial,2020,10,18,15,44,6XX E CORDOVA ST,Strathcona,493458.6161,5458825.3942,Commercial
Break and Enter Commercial,2020,6,8,0,40,6XX E HASTINGS ST,Strathcona,493401.3157,5458722.9908,Commercial
Break and Enter Commercial,2020,3,9,13,0,6XX E HASTINGS ST,Strathcona,493403.6575,5458713.781,Commercial
Break and Enter Commercial,2020,5,25,8,50,6XX E HASTINGS ST,Strathcona,493416.5869,5458713.4358,Commercial
Break and Enter Commercial,2020,12,31,10,8,6XX E HASTINGS ST,Strathcona,493455.3749,5458712.4,Commercial
Break and Enter Commercial,2020,3,31,11,45,6XX E KENT AVE S,Sunset,493300.4157,5450560.8185,Commercial
Break and Enter Commercial,2020,12,22,6,36,6XX EVANS AVE,Strathcona,493462.7524,5457719.1418,Commercial
Break and Enter Commercial,2020,9,16,19,0,6XX FAIRCHILD RD,Oakridge,491284.4377,5453101.2285,Commercial
Break and Enter Commercial,2020,11,3,10,15,6XX FAIRCHILD RD,Oakridge,491284.4377,5453101.2285,Commercial
Break and Enter Commercial,2020,1,2,21,25,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061,Commercial
Break and Enter Commercial,2020,3,19,22,53,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061,Commercial
Break and Enter Commercial,2020,5,24,3,12,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061,Commercial
Break and Enter Commercial,2020,7,2,5,41,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061,Commercial
Break and Enter Commercial,2020,7,13,5,4,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061,Commercial
Break and Enter Commercial,2020,1,2,4,0,6XX HORNBY ST,Central Business District,491339.3845,5459086.7342,Commercial
